Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,621,0,77,77.25518578095452,72.31391700042877,169.56566699809628,41.0,7.842889304974158,0.0,77,78,78,79,80,81,82,84,170,170,170
GET,GET /products/search,3135,0,77,77.62613808195904,72.43416600249475,204.23866600322071,1495.2140350877194,39.59333006617389,0.0,77,78,79,79,80,82,84,89,180,200,200
,Aggregated,3756,0,77,77.56480651142554,72.31391700042877,204.23866600322071,1254.780883919063,47.43621937114805,0.0,77,78,79,79,80,81,84,89,180,200,200
