Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771977611,5,,Aggregated,47.100000,0.000000,77,78,79,79,81,83,89,95,200,200,200,1441,0,77,78.20093570857595,72.31391700042877,204.23866600322071,1263.7550312283138
1771977612,5,,Aggregated,47.400000,0.000000,77,78,79,79,81,83,89,95,200,200,200,1489,0,77,78.15751338890108,72.31391700042877,204.23866600322071,1264.2531900604433
1771977613,5,,Aggregated,47.200000,0.000000,77,78,79,79,81,82,89,95,200,200,200,1539,0,77,78.10618311372967,72.31391700042877,204.23866600322071,1266.6231319038336
1771977614,5,,Aggregated,47.500000,0.000000,77,78,79,79,81,82,88,95,200,200,200,1588,0,77,78.07028976450452,72.31391700042877,204.23866600322071,1265.8337531486145
1771977615,5,,Aggregated,47.900000,0.000000,77,78,79,79,81,82,88,95,200,200,200,1637,0,77,78.04244658705638,72.31391700042877,204.23866600322071,1264.362248014661
1771977616,5,,Aggregated,47.800000,0.000000,77,78,79,79,81,82,87,95,200,200,200,1686,0,77,78.00895216844259,72.31391700042877,204.23866600322071,1265.5130486358244
1771977617,5,,Aggregated,48.100000,0.000000,77,78,79,79,81,82,86,95,200,200,200,1735,0,77,77.98809960286732,72.31391700042877,204.23866600322071,1265.308357348703
1771977618,5,,Aggregated,48.200000,0.000000,77,78,79,79,81,82,86,95,200,200,200,1783,0,77,77.96271418507224,72.31391700042877,204.23866600322071,1261.4856982613574
1771977619,5,,Aggregated,48.500000,0.000000,77,78,79,79,81,82,86,94,200,200,200,1829,0,77,77.9476133679459,72.31391700042877,204.23866600322071,1264.226353198469
1771977620,5,,Aggregated,48.400000,0.000000,77,78,79,79,81,82,86,94,200,200,200,1876,0,77,77.917352444561,72.31391700042877,204.23866600322071,1262.4067164179105
1771977621,5,,Aggregated,48.600000,0.000000,77,78,79,79,81,82,86,93,200,200,200,1926,0,77,77.8927483234656,72.31391700042877,204.23866600322071,1263.0207684319835
1771977622,5,,Aggregated,48.400000,0.000000,77,78,79,79,81,82,86,93,200,200,200,1972,0,77,77.87058389147327,72.31391700042877,204.23866600322071,1261.8220081135903
